Time       ,I(Iprim)   ,V(L1)      
0,5.991289985,0
0.00001,6.130782762,0.80859417
0.00002,6.269354904,1.617125197
0.00003,6.406982577,2.425529951
0.00004,6.543642171,3.23374533
0.00005,6.679310311,4.041708271
0.00006,6.81396386,4.849355768
0.00007,6.947579925,5.656624882
0.00008,7.080135862,6.463452756
0.00009,7.211609283,7.269776629
0.0001,7.34197806,8.075533846
0.00011,7.471220332,8.880661878
0.00012,7.599314506,9.685098329
0.00013,7.72623927,10.48878095
0.00014,7.851973591,11.29164767
0.00015,7.976496722,12.09363658
0.00016,8.099788208,12.89468595
0.00017,8.221827893,13.69473427
0.00018,8.34259592,14.49372025
0.00019,8.462072738,15.29158282
0.0002,8.580239109,16.08826114
0.00021,8.69707611,16.88369466
0.00022,8.812565137,17.67782306
0.00023,8.926687912,18.47058632
0.00024,9.039426486,19.26192472
0.00025,9.150763243,20.05177883
0.00026,9.260680904,20.84008957
0.00027,9.369162534,21.62679814
0.00028,9.476191543,22.41184615
0.00029,9.581751689,23.19517551
0.0003,9.685827087,23.97672853
0.00031,9.788402207,24.7564479
0.00032,9.889461882,25.5342767
0.00033,9.98899131,26.31015842
0.00034,10.08697606,27.08403697
0.00035,10.18340206,27.85585667
0.00036,10.27825563,28.62556231
0.00037,10.37152347,29.39309912
0.00038,10.46319265,30.15841281
0.00039,10.55325062,30.92144953
0.0004,10.64168523,31.68215597
0.00041,10.72848472,32.44047927
0.00042,10.81363773,33.19636712
0.00043,10.89713328,33.94976772
0.00044,10.9789608,34.70062978
0.00045,11.05911011,35.44890258
0.00046,11.13757145,36.19453595
0.00047,11.21433546,36.93748028
0.00048,11.28939318,37.67768654
0.00049,11.36273608,38.41510626
0.0005,11.43435601,39.14969161
0.00051,11.50424528,39.88139532
0.00052,11.57239657,40.61017076
0.00053,11.638803,41.33597193
0.00054,11.70345813,42.05875344
0.00055,11.76635589,42.77847056
0.00056,11.82749068,43.49507921
0.00057,11.8868573,44.20853596
0.00058,11.94445098,44.91879807
0.00059,12.00026738,45.62582346
0.0006,12.05430259,46.32957075
0.00061,12.1065531,47.02999925
0.00062,12.15701587,47.72706897
0.00063,12.20568825,48.42074063
0.00064,12.25256806,49.11097569
0.00065,12.29765352,49.79773631
0.00066,12.34094329,50.48098539
0.00067,12.38243646,51.1606866
0.00068,12.42213255,51.83680431
0.00069,12.46003151,52.50930369
0.0007,12.49613373,53.17815065
0.00071,12.53044003,53.84331187
0.00072,12.56295164,54.50475481
0.00073,12.59367024,55.16244771
0.00074,12.62259793,55.8163596
0.00075,12.64973726,56.4664603
0.00076,12.67509117,57.11272043
0.00077,12.69866307,57.75511142
0.00078,12.72045675,58.39360549
0.00079,12.74047647,59.02817569
0.0008,12.75872689,59.6587959
0.00081,12.77521309,60.28544079
0.00082,12.78994059,60.9080859
0.00083,12.80291531,61.52670757
0.00084,12.8141436,62.14128299
0.00085,12.82363223,62.75179018
0.00086,12.83138837,63.35820802
0.00087,12.83741963,63.96051622
0.00088,12.841734,64.55869536
0.00089,12.8443399,65.15272685
0.0009,12.84524615,65.74259297
0.00091,12.84446198,66.32827686
0.00092,12.84199701,66.90976252
0.00093,12.83786128,67.4870348
0.00094,12.83206521,68.06007943
0.00095,12.82461961,68.62888301
0.00096,12.81553571,69.19343298
0.00097,12.80482511,69.75371767
0.00098,12.79249979,70.3097263
0.00099,12.77857213,70.86144892
0.001,12.76305487,71.40887648
0.00101,12.74596115,71.95200079
0.00102,12.72730446,72.49081454
0.00103,12.70709869,73.02531129
0.00104,12.68535806,73.55548547
0.00105,12.66209717,74.08133238
0.00106,12.637331,74.6028482
0.00107,12.61107485,75.12002998
0.00108,12.58334439,75.63287562
0.00109,12.55415564,76.14138391
0.0011,12.52352495,76.6455545
0.00111,12.49146903,77.1453879
0.00112,12.4580049,77.6408855
0.00113,12.42314993,78.13204952
0.00114,12.38692181,78.61888306
0.00115,12.34933855,79.10139008
0.00116,12.31041849,79.57957539
0.00117,12.27018027,80.05344463
0.00118,12.22864283,80.52300432
0.00119,12.18582544,80.98826179
0.0012,12.14174764,81.44922525
0.00121,12.09642929,81.9059037
0.00122,12.04989052,82.35830701
0.00123,12.00215175,82.80644587
0.00124,11.95323368,83.25033177
0.00125,11.90315728,83.68997706
0.00126,11.85194379,84.12539487
0.00127,11.79961472,84.55659915
0.00128,11.74619182,84.98360467
0.00129,11.6916971,85.40642698
0.0013,11.63615283,85.82508243
0.00131,11.57958151,86.23958815
0.00132,11.52200587,86.64996207
0.00133,11.46344886,87.05622288
0.00134,11.4039337,87.45839005
0.00135,11.34348376,87.85648381
0.00136,11.28212269,88.25052513
0.00137,11.21987429,88.64053576
